temperature,date,dia_da_semana,mes_venda,temperatura_celsius,total_de_vendas
54F,"domingo, setembro 10, 2006",dom,set,17,31127
51F,"segunda-feira, setembro 11, 2006",seg,set,16,30518
55F,"terça-feira, setembro 12, 2006",ter,set,18,31735
54F,"quarta-feira, setembro 13, 2006",qua,set,18,31735
55F,"quinta-feira, setembro 14, 2006",qui,set,18,31733
53F,"sexta-feira, setembro 15, 2006",sex,set,17,31123
54F,"sábado, setembro 16, 2006",sab,set,18,31731
51F,"domingo, setembro 17, 2006",dom,set,16,30511
58F,"segunda-feira, setembro 18, 2006",seg,set,20,32947
54F,"terça-feira, setembro 19, 2006",ter,set,18,31729
56F,"quarta-feira, setembro 20, 2006",qua,set,19,32337
59F,"quinta-feira, setembro 21, 2006",qui,set,20,32944
54F,"sexta-feira, setembro 22, 2006",sex,set,18,31725
55F,"sábado, setembro 23, 2006",sab,set,18,31725
52F,"domingo, setembro 24, 2006",dom,set,17,31116
53F,"segunda-feira, setembro 25, 2006",seg,set,17,31114
52F,"terça-feira, setembro 26, 2006",ter,set,17,31114
57F,"quarta-feira, setembro 27, 2006",qua,set,19,32328
54F,"quinta-feira, setembro 28, 2006",qui,set,18,31719
57F,"sexta-feira, setembro 29, 2006",sex,set,20,32937
51F,"sábado, setembro 30, 2006",sab,set,16,30498
54F,"domingo, outubro 01, 2006",dom,out,18,31716
52F,"segunda-feira, outubro 02, 2006",seg,out,16,30495
54F,"terça-feira, outubro 03, 2006",ter,out,18,31712
57F,"quarta-feira, outubro 04, 2006",qua,out,19,32321
55F,"quinta-feira, outubro 05, 2006",qui,out,18,31712
55F,"sexta-feira, outubro 06, 2006",sex,out,19,32320
52F,"sábado, outubro 07, 2006",sab,out,17,31098
55F,"domingo, outubro 08, 2006",dom,out,18,31707
51F,"segunda-feira, outubro 09, 2006",seg,out,16,30489
56F,"terça-feira, outubro 10, 2006",ter,out,19,32313
54F,"quarta-feira, outubro 11, 2006",qua,out,18,31704
55F,"quinta-feira, outubro 12, 2006",qui,out,19,32310
53F,"sexta-feira, outubro 13, 2006",sex,out,17,31091
56F,"sábado, outubro 14, 2006",sab,out,19,32308
49F,"domingo, outubro 15, 2006",dom,out,15,29870
54F,"segunda-feira, outubro 16, 2006",seg,out,18,31697
51F,"terça-feira, outubro 17, 2006",ter,out,16,30471
57F,"quarta-feira, outubro 18, 2006",qua,out,19,32297
54F,"quinta-feira, outubro 19, 2006",qui,out,17,31079
55F,"sexta-feira, outubro 20, 2006",sex,out,18,31686
53F,"sábado, outubro 21, 2006",sab,out,17,31076
52F,"domingo, outubro 22, 2006",dom,out,17,31072
51F,"segunda-feira, outubro 23, 2006",seg,out,16,30461
53F,"terça-feira, outubro 24, 2006",ter,out,17,31069
55F,"quarta-feira, outubro 25, 2006",qua,out,18,31676
52F,"quinta-feira, outubro 26, 2006",qui,out,17,31066
54F,"sexta-feira, outubro 27, 2006",sex,out,17,31063
57F,"sábado, outubro 28, 2006",sab,out,19,32281
52F,"domingo, outubro 29, 2006",dom,out,17,31063
53F,"segunda-feira, outubro 30, 2006",seg,out,17,31061
57F,"terça-feira, outubro 31, 2006",ter,out,19,32279
51F,"quarta-feira, novembro 01, 2006",qua,nov,16,30450
52F,"quinta-feira, novembro 02, 2006",qui,nov,17,31058
51F,"sexta-feira, novembro 03, 2006",sex,nov,16,30447
53F,"sábado, novembro 04, 2006",sab,nov,17,31056
54F,"domingo, novembro 05, 2006",dom,nov,18,31665
54F,"segunda-feira, novembro 06, 2006",seg,nov,18,31663
54F,"terça-feira, novembro 07, 2006",ter,nov,18,31663
52F,"quarta-feira, novembro 08, 2006",qua,nov,16,30444
58F,"quinta-feira, novembro 09, 2006",qui,nov,20,32879
52F,"sexta-feira, novembro 10, 2006",sex,nov,17,31052
53F,"sábado, novembro 11, 2006",sab,nov,17,31048
53F,"domingo, novembro 12, 2006",dom,nov,17,31048
57F,"segunda-feira, novembro 13, 2006",seg,nov,19,32261
55F,"terça-feira, novembro 14, 2006",ter,nov,18,31652
56F,"quarta-feira, novembro 15, 2006",qua,nov,19,32260
56F,"quinta-feira, novembro 16, 2006",qui,nov,19,32259
54F,"sexta-feira, novembro 17, 2006",sex,nov,18,31650
57F,"sábado, novembro 18, 2006",sab,nov,19,32259
49F,"domingo, novembro 19, 2006",dom,nov,15,29819
51F,"segunda-feira, novembro 20, 2006",seg,nov,16,30428
54F,"terça-feira, novembro 21, 2006",ter,nov,18,31643
56F,"quarta-feira, novembro 22, 2006",qua,nov,19,32252
56F,"quinta-feira, novembro 23, 2006",qui,nov,19,32251
55F,"sexta-feira, novembro 24, 2006",sex,nov,18,31642
55F,"sábado, novembro 25, 2006",sab,nov,18,31642
53F,"domingo, novembro 26, 2006",dom,nov,17,31029
57F,"segunda-feira, novembro 27, 2006",seg,nov,20,32855
52F,"terça-feira, novembro 28, 2006",ter,nov,16,30418
54F,"quarta-feira, novembro 29, 2006",qua,nov,18,31636
56F,"quinta-feira, novembro 30, 2006",qui,nov,19,32245
51F,"sexta-feira, dezembro 01, 2006",sex,dez,16,30416
54F,"sábado, dezembro 02, 2006",sab,dez,18,31634
51F,"domingo, dezembro 03, 2006",dom,dez,16,30415
50F,"segunda-feira, dezembro 04, 2006",seg,dez,16,30414
55F,"terça-feira, dezembro 05, 2006",ter,dez,18,31630
56F,"quarta-feira, dezembro 06, 2006",qua,dez,19,32237
51F,"quinta-feira, dezembro 07, 2006",qui,dez,16,30410
53F,"sexta-feira, dezembro 08, 2006",sex,dez,17,31018
53F,"sábado, dezembro 09, 2006",sab,dez,17,31017
51F,"domingo, dezembro 10, 2006",dom,dez,16,30408
51F,"segunda-feira, dezembro 11, 2006",seg,dez,16,30407
55F,"terça-feira, dezembro 12, 2006",ter,dez,19,32233
51F,"quarta-feira, dezembro 13, 2006",qua,dez,16,30405
57F,"quinta-feira, dezembro 14, 2006",qui,dez,19,32230
55F,"sexta-feira, dezembro 15, 2006",sex,dez,18,31618
56F,"sábado, dezembro 16, 2006",sab,dez,19,32224
55F,"domingo, dezembro 17, 2006",dom,dez,19,32223
58F,"segunda-feira, dezembro 18, 2006",seg,dez,20,32832
53F,"terça-feira, dezembro 19, 2006",ter,dez,17,31003
53F,"quarta-feira, dezembro 20, 2006",qua,dez,17,31000
50F,"quinta-feira, dezembro 21, 2006",qui,dez,16,30389
52F,"sexta-feira, dezembro 22, 2006",sex,dez,16,30388
55F,"sábado, dezembro 23, 2006",sab,dez,18,31604
54F,"domingo, dezembro 24, 2006",dom,dez,18,31603
53F,"segunda-feira, dezembro 25, 2006",seg,dez,17,30991
53F,"terça-feira, dezembro 26, 2006",ter,dez,17,30987
50F,"quarta-feira, dezembro 27, 2006",qua,dez,16,30378
51F,"quinta-feira, dezembro 28, 2006",qui,dez,16,30376
51F,"sexta-feira, dezembro 29, 2006",sex,dez,16,30375
49F,"sábado, dezembro 30, 2006",sab,dez,15,29762
53F,"domingo, dezembro 31, 2006",dom,dez,17,30973
53F,"segunda-feira, janeiro 01, 2007",seg,jan,17,30972
53F,"terça-feira, janeiro 02, 2007",ter,jan,17,30969
53F,"quarta-feira, janeiro 03, 2007",qua,jan,17,30968
52F,"quinta-feira, janeiro 04, 2007",qui,jan,17,30966
50F,"sexta-feira, janeiro 05, 2007",sex,jan,16,30350
52F,"sábado, janeiro 06, 2007",sab,jan,17,30957
55F,"domingo, janeiro 07, 2007",dom,jan,18,31564
52F,"segunda-feira, janeiro 08, 2007",seg,jan,17,30954
53F,"terça-feira, janeiro 09, 2007",ter,jan,17,30951
56F,"quarta-feira, janeiro 10, 2007",qua,jan,19,32163
51F,"quinta-feira, janeiro 11, 2007",qui,jan,16,30334
52F,"sexta-feira, janeiro 12, 2007",sex,jan,17,30943
53F,"sábado, janeiro 13, 2007",sab,jan,17,30942
52F,"domingo, janeiro 14, 2007",dom,jan,16,30332
53F,"segunda-feira, janeiro 15, 2007",seg,jan,17,30935
54F,"terça-feira, janeiro 16, 2007",ter,jan,18,31542
55F,"quarta-feira, janeiro 17, 2007",qua,jan,18,31531
54F,"quinta-feira, janeiro 18, 2007",qui,jan,18,31524
57F,"sexta-feira, janeiro 19, 2007",sex,jan,19,32122
52F,"sábado, janeiro 20, 2007",sab,jan,17,30862
51F,"domingo, janeiro 21, 2007",dom,jan,16,30249
55F,"segunda-feira, janeiro 22, 2007",seg,jan,18,29020
88F,"terça-feira, janeiro 23, 2007",ter,jan,31,48486
87F,"quarta-feira, janeiro 24, 2007",qua,jan,30,47849
89F,"quinta-feira, janeiro 25, 2007",qui,jan,31,48448
83F,"sexta-feira, janeiro 26, 2007",sex,jan,28,46614
87F,"sábado, janeiro 27, 2007",sab,jan,30,47809
87F,"domingo, janeiro 28, 2007",dom,jan,30,47807
85F,"segunda-feira, janeiro 29, 2007",seg,jan,29,47193
88F,"terça-feira, janeiro 30, 2007",ter,jan,31,48410
88F,"quarta-feira, janeiro 31, 2007",qua,jan,31,48407
87F,"quinta-feira, fevereiro 01, 2007",qui,fev,30,47793
88F,"sexta-feira, fevereiro 02, 2007",sex,fev,31,48402
82F,"sábado, fevereiro 03, 2007",sab,fev,27,45965
87F,"domingo, fevereiro 04, 2007",dom,fev,30,47786
85F,"segunda-feira, fevereiro 05, 2007",seg,fev,29,47168
89F,"terça-feira, fevereiro 06, 2007",ter,fev,31,48381
84F,"quarta-feira, fevereiro 07, 2007",qua,fev,28,46553
89F,"quinta-feira, fevereiro 08, 2007",qui,fev,31,48380
91F,"sexta-feira, fevereiro 09, 2007",sex,fev,32,48988
91F,"sábado, fevereiro 10, 2007",sab,fev,32,48984
87F,"domingo, fevereiro 11, 2007",dom,fev,30,47760
88F,"segunda-feira, fevereiro 12, 2007",seg,fev,31,48369
87F,"terça-feira, fevereiro 13, 2007",ter,fev,30,47756
85F,"quarta-feira, fevereiro 14, 2007",qua,fev,29,47146
87F,"quinta-feira, fevereiro 15, 2007",qui,fev,30,47754
84F,"sexta-feira, fevereiro 16, 2007",sex,fev,28,46529
85F,"sábado, fevereiro 17, 2007",sab,fev,29,47137
84F,"domingo, fevereiro 18, 2007",dom,fev,29,47132
89F,"segunda-feira, fevereiro 19, 2007",seg,fev,31,48348
83F,"terça-feira, fevereiro 20, 2007",ter,fev,28,46520
86F,"quarta-feira, fevereiro 21, 2007",qua,fev,30,47733
86F,"quinta-feira, fevereiro 22, 2007",qui,fev,29,47124
88F,"sexta-feira, fevereiro 23, 2007",sex,fev,30,47729
85F,"sábado, fevereiro 24, 2007",sab,fev,29,47118
84F,"domingo, fevereiro 25, 2007",dom,fev,28,46508
87F,"segunda-feira, fevereiro 26, 2007",seg,fev,30,47723
88F,"terça-feira, fevereiro 27, 2007",ter,fev,31,48330
88F,"quarta-feira, fevereiro 28, 2007",qua,fev,31,48330
85F,"quinta-feira, março 01, 2007",qui,mar,29,47112
86F,"sexta-feira, março 02, 2007",sex,mar,30,47720
86F,"sábado, março 03, 2007",sab,mar,30,47719
86F,"domingo, março 04, 2007",dom,mar,29,47110
84F,"segunda-feira, março 05, 2007",seg,mar,28,46500
87F,"terça-feira, março 06, 2007",ter,mar,30,47716
83F,"quarta-feira, março 07, 2007",qua,mar,28,46498
88F,"quinta-feira, março 08, 2007",qui,mar,31,48322
88F,"sexta-feira, março 09, 2007",sex,mar,30,47713
87F,"sábado, março 10, 2007",sab,mar,30,47712
87F,"domingo, março 11, 2007",dom,mar,30,47710
87F,"segunda-feira, março 12, 2007",seg,mar,30,47710
89F,"terça-feira, março 13, 2007",ter,mar,31,48313
88F,"quarta-feira, março 14, 2007",qua,mar,31,48309
87F,"quinta-feira, março 15, 2007",qui,mar,30,47699
86F,"sexta-feira, março 16, 2007",sex,mar,30,47698
86F,"sábado, março 17, 2007",sab,mar,30,47698
87F,"domingo, março 18, 2007",dom,mar,30,47694
91F,"segunda-feira, março 19, 2007",seg,mar,32,48912
87F,"terça-feira, março 20, 2007",ter,mar,30,47693
87F,"quarta-feira, março 21, 2007",qua,mar,30,47690
86F,"quinta-feira, março 22, 2007",qui,mar,29,47080
88F,"sexta-feira, março 23, 2007",sex,mar,31,48295
88F,"sábado, março 24, 2007",sab,mar,31,48294
83F,"domingo, março 25, 2007",dom,mar,28,46466
84F,"segunda-feira, março 26, 2007",seg,mar,29,47075
90F,"terça-feira, março 27, 2007",ter,mar,32,48901
87F,"quarta-feira, março 28, 2007",qua,mar,30,47681
86F,"quinta-feira, março 29, 2007",qui,mar,30,47681
86F,"sexta-feira, março 30, 2007",sex,mar,29,47069
88F,"sábado, março 31, 2007",sab,mar,31,48286
89F,"domingo, abril 01, 2007",dom,abr,31,48285
88F,"segunda-feira, abril 02, 2007",seg,abr,31,48282
86F,"terça-feira, abril 03, 2007",ter,abr,30,47673
88F,"quarta-feira, abril 04, 2007",qua,abr,30,47671
87F,"quinta-feira, abril 05, 2007",qui,abr,30,47670
87F,"sexta-feira, abril 06, 2007",sex,abr,30,47669
87F,"sábado, abril 07, 2007",sab,abr,30,47660
88F,"domingo, abril 08, 2007",dom,abr,31,48265
87F,"segunda-feira, abril 09, 2007",seg,abr,30,47655
86F,"terça-feira, abril 10, 2007",ter,abr,29,47046
86F,"quarta-feira, abril 11, 2007",qua,abr,30,47653
89F,"quinta-feira, abril 12, 2007",qui,abr,31,48258
87F,"sexta-feira, abril 13, 2007",sex,abr,30,47647
88F,"sábado, abril 14, 2007",sab,abr,30,47647
89F,"domingo, abril 15, 2007",dom,abr,31,48256
86F,"segunda-feira, abril 16, 2007",seg,abr,30,47645
86F,"terça-feira, abril 17, 2007",ter,abr,29,47032
83F,"quarta-feira, abril 18, 2007",qua,abr,28,46418
82F,"quinta-feira, abril 19, 2007",qui,abr,27,45808
88F,"sexta-feira, abril 20, 2007",sex,abr,31,48244
86F,"sábado, abril 21, 2007",sab,abr,29,47025
86F,"domingo, abril 22, 2007",dom,abr,30,47631
85F,"segunda-feira, abril 23, 2007",seg,abr,29,47022
85F,"terça-feira, abril 24, 2007",ter,abr,29,47016
89F,"quarta-feira, abril 25, 2007",qua,abr,31,48231
87F,"quinta-feira, abril 26, 2007",qui,abr,30,47621
87F,"sexta-feira, abril 27, 2007",sex,abr,30,47616
88F,"sábado, abril 28, 2007",sab,abr,31,48222
87F,"domingo, abril 29, 2007",dom,abr,30,47612
89F,"segunda-feira, abril 30, 2007",seg,abr,31,48220
87F,"terça-feira, maio 01, 2007",ter,mai,30,47610
90F,"quarta-feira, maio 02, 2007",qua,mai,32,48826
85F,"quinta-feira, maio 03, 2007",qui,mai,29,46999
88F,"sexta-feira, maio 04, 2007",sex,mai,30,47607
86F,"sábado, maio 05, 2007",sab,mai,29,46998
83F,"domingo, maio 06, 2007",dom,mai,28,46386
88F,"segunda-feira, maio 07, 2007",seg,mai,30,47602
90F,"terça-feira, maio 08, 2007",ter,mai,32,48818
85F,"quarta-feira, maio 09, 2007",qua,mai,29,46991
84F,"quinta-feira, maio 10, 2007",qui,mai,29,46989
86F,"sexta-feira, maio 11, 2007",sex,mai,30,47597
89F,"sábado, maio 12, 2007",sab,mai,31,48203
87F,"domingo, maio 13, 2007",dom,mai,30,47593
88F,"segunda-feira, maio 14, 2007",seg,mai,31,48200
86F,"terça-feira, maio 15, 2007",ter,mai,30,47590
89F,"quarta-feira, maio 16, 2007",qua,mai,31,48197
87F,"quinta-feira, maio 17, 2007",qui,mai,30,47585
88F,"sexta-feira, maio 18, 2007",sex,mai,31,48194
85F,"sábado, maio 19, 2007",sab,mai,29,46971
88F,"domingo, maio 20, 2007",dom,mai,31,48188
86F,"segunda-feira, maio 21, 2007",seg,mai,29,46966
87F,"terça-feira, maio 22, 2007",ter,mai,30,47569
87F,"quarta-feira, maio 23, 2007",qua,mai,30,47569
87F,"quinta-feira, maio 24, 2007",qui,mai,30,47568
89F,"sexta-feira, maio 25, 2007",sex,mai,31,48174
87F,"sábado, maio 26, 2007",sab,mai,30,47565
85F,"domingo, maio 27, 2007",dom,mai,29,46950
89F,"segunda-feira, maio 28, 2007",seg,mai,31,48164
87F,"terça-feira, maio 29, 2007",ter,mai,30,47552
85F,"quarta-feira, maio 30, 2007",qua,mai,29,46941
85F,"quinta-feira, maio 31, 2007",qui,mai,29,46941
87F,"sexta-feira, junho 01, 2007",sex,jun,30,47548
87F,"sábado, junho 02, 2007",sab,jun,30,47548
85F,"domingo, junho 03, 2007",dom,jun,29,46937
89F,"segunda-feira, junho 04, 2007",seg,jun,31,48155
88F,"terça-feira, junho 05, 2007",ter,jun,31,48154
87F,"quarta-feira, junho 06, 2007",qua,jun,30,47542
89F,"quinta-feira, junho 07, 2007",qui,jun,31,48151
89F,"sexta-feira, junho 08, 2007",sex,jun,31,48150
88F,"sábado, junho 09, 2007",sab,jun,31,48149
87F,"domingo, junho 10, 2007",dom,jun,30,47539
86F,"segunda-feira, junho 11, 2007",seg,jun,29,46925
89F,"terça-feira, junho 12, 2007",ter,jun,31,48143
87F,"quarta-feira, junho 13, 2007",qua,jun,30,47530
89F,"quinta-feira, junho 14, 2007",qui,jun,31,48139
83F,"sexta-feira, junho 15, 2007",sex,jun,28,46310
89F,"sábado, junho 16, 2007",sab,jun,31,48134
87F,"domingo, junho 17, 2007",dom,jun,30,47525
85F,"segunda-feira, junho 18, 2007",seg,jun,29,46916
89F,"terça-feira, junho 19, 2007",ter,jun,31,48134
85F,"quarta-feira, junho 20, 2007",qua,jun,29,46913
88F,"quinta-feira, junho 21, 2007",qui,jun,31,48122
86F,"sexta-feira, junho 22, 2007",sex,jun,30,47512
87F,"sábado, junho 23, 2007",sab,jun,30,47511
90F,"domingo, junho 24, 2007",dom,jun,31,48119
88F,"segunda-feira, junho 25, 2007",seg,jun,30,47510
88F,"terça-feira, junho 26, 2007",ter,jun,31,48117
85F,"quarta-feira, junho 27, 2007",qua,jun,29,46899
88F,"quinta-feira, junho 28, 2007",qui,jun,31,48116
85F,"sexta-feira, junho 29, 2007",sex,jun,29,46898
90F,"sábado, junho 30, 2007",sab,jun,32,48724
87F,"domingo, julho 01, 2007",dom,jul,30,47503
85F,"segunda-feira, julho 02, 2007",seg,jul,29,46891
87F,"terça-feira, julho 03, 2007",ter,jul,30,47499
86F,"quarta-feira, julho 04, 2007",qua,jul,29,46887
87F,"quinta-feira, julho 05, 2007",qui,jul,30,47495
85F,"sexta-feira, julho 06, 2007",sex,jul,29,46881
86F,"sábado, julho 07, 2007",sab,jul,30,47489
84F,"domingo, julho 08, 2007",dom,jul,29,46880
87F,"segunda-feira, julho 09, 2007",seg,jul,30,47483
88F,"terça-feira, julho 10, 2007",ter,jul,31,48092
88F,"quarta-feira, julho 11, 2007",qua,jul,31,48079
85F,"quinta-feira, julho 12, 2007",qui,jul,29,46860
83F,"sexta-feira, julho 13, 2007",sex,jul,28,46251
89F,"sábado, julho 14, 2007",sab,jul,31,48074
87F,"domingo, julho 15, 2007",dom,jul,30,47459
86F,"segunda-feira, julho 16, 2007",seg,jul,30,47452
90F,"terça-feira, julho 17, 2007",ter,jul,31,48060
88F,"quarta-feira, julho 18, 2007",qua,jul,31,48059
85F,"quinta-feira, julho 19, 2007",qui,jul,29,46839
85F,"sexta-feira, julho 20, 2007",sex,jul,29,46835
88F,"sábado, julho 21, 2007",sab,jul,31,48032
83F,"domingo, julho 22, 2007",dom,jul,28,46200
90F,"segunda-feira, julho 23, 2007",seg,jul,32,48635
89F,"terça-feira, julho 24, 2007",ter,jul,31,48019
87F,"quarta-feira, julho 25, 2007",qua,jul,30,47397
84F,"quinta-feira, julho 26, 2007",qui,jul,28,44969
81F,"sexta-feira, julho 27, 2007",sex,jul,27,44356
81F,"sábado, julho 28, 2007",sab,jul,27,44355
82F,"domingo, julho 29, 2007",dom,jul,27,44341
81F,"segunda-feira, julho 30, 2007",seg,jul,27,44329
80F,"terça-feira, julho 31, 2007",ter,jul,26,43700
85F,"quarta-feira, agosto 01, 2007",qua,ago,29,45527
85F,"quinta-feira, agosto 02, 2007",qui,ago,29,45523
84F,"sexta-feira, agosto 03, 2007",sex,ago,28,44910
85F,"sábado, agosto 04, 2007",sab,ago,29,45515
85F,"domingo, agosto 05, 2007",dom,ago,29,45512
82F,"segunda-feira, agosto 06, 2007",seg,ago,28,44896
84F,"terça-feira, agosto 07, 2007",ter,ago,28,44895
83F,"quarta-feira, agosto 08, 2007",qua,ago,28,44888
79F,"quinta-feira, agosto 09, 2007",qui,ago,26,43665
85F,"sexta-feira, agosto 10, 2007",sex,ago,29,45487
80F,"sábado, agosto 11, 2007",sab,ago,26,43656
85F,"domingo, agosto 12, 2007",dom,ago,29,45483
84F,"segunda-feira, agosto 13, 2007",seg,ago,28,44874
83F,"terça-feira, agosto 14, 2007",ter,ago,28,44873
84F,"quarta-feira, agosto 15, 2007",qua,ago,28,44864
86F,"quinta-feira, agosto 16, 2007",qui,ago,29,45473
86F,"sexta-feira, agosto 17, 2007",sex,ago,30,46081
82F,"sábado, agosto 18, 2007",sab,ago,27,44249
86F,"domingo, agosto 19, 2007",dom,ago,29,45463
82F,"segunda-feira, agosto 20, 2007",seg,ago,27,44238
83F,"terça-feira, agosto 21, 2007",ter,ago,28,44847
83F,"quarta-feira, agosto 22, 2007",qua,ago,28,44847
82F,"quinta-feira, agosto 23, 2007",qui,ago,27,44238
85F,"sexta-feira, agosto 24, 2007",sex,ago,29,45455
84F,"sábado, agosto 25, 2007",sab,ago,28,44840
81F,"domingo, agosto 26, 2007",dom,ago,27,44230
86F,"segunda-feira, agosto 27, 2007",seg,ago,29,45444
85F,"terça-feira, agosto 28, 2007",ter,ago,29,45444
84F,"quarta-feira, agosto 29, 2007",qua,ago,28,44834
88F,"quinta-feira, agosto 30, 2007",qui,ago,30,46049
86F,"sexta-feira, agosto 31, 2007",sex,ago,29,45437
87F,"sábado, setembro 01, 2007",sab,set,30,46045
82F,"domingo, setembro 02, 2007",dom,set,27,44218
83F,"segunda-feira, setembro 03, 2007",seg,set,28,44821
84F,"terça-feira, setembro 04, 2007",ter,set,28,44817
83F,"quarta-feira, setembro 05, 2007",qua,set,28,44813
84F,"quinta-feira, setembro 06, 2007",qui,set,28,44813
80F,"sexta-feira, setembro 07, 2007",sex,set,26,43594
84F,"sábado, setembro 08, 2007",sab,set,28,44811
87F,"domingo, setembro 09, 2007",dom,set,30,46029
85F,"segunda-feira, setembro 10, 2007",seg,set,29,45419
81F,"terça-feira, setembro 11, 2007",ter,set,27,44200
87F,"quarta-feira, setembro 12, 2007",qua,set,30,46027
85F,"quinta-feira, setembro 13, 2007",qui,set,29,45417
82F,"sexta-feira, setembro 14, 2007",sex,set,28,44807
83F,"sábado, setembro 15, 2007",sab,set,28,44807
83F,"domingo, setembro 16, 2007",dom,set,28,44805
85F,"segunda-feira, setembro 17, 2007",seg,set,29,45412
85F,"terça-feira, setembro 18, 2007",ter,set,29,45411
84F,"quarta-feira, setembro 19, 2007",qua,set,28,44800
81F,"quinta-feira, setembro 20, 2007",qui,set,27,44189
84F,"sexta-feira, setembro 21, 2007",sex,set,28,44797
82F,"sábado, setembro 22, 2007",sab,set,27,44187
81F,"domingo, setembro 23, 2007",dom,set,27,44186
82F,"segunda-feira, setembro 24, 2007",seg,set,28,44791
83F,"terça-feira, setembro 25, 2007",ter,set,28,44791
78F,"quarta-feira, setembro 26, 2007",qua,set,25,42963
83F,"quinta-feira, setembro 27, 2007",qui,set,28,44788
83F,"sexta-feira, setembro 28, 2007",sex,set,28,44784
82F,"sábado, setembro 29, 2007",sab,set,27,44172
82F,"domingo, setembro 30, 2007",dom,set,27,44171
82F,"segunda-feira, outubro 01, 2007",seg,out,27,44170
84F,"terça-feira, outubro 02, 2007",ter,out,29,45388
81F,"quarta-feira, outubro 03, 2007",qua,out,27,44169
86F,"quinta-feira, outubro 04, 2007",qui,out,29,45383
87F,"sexta-feira, outubro 05, 2007",sex,out,30,45992
84F,"sábado, outubro 06, 2007",sab,out,29,45382
83F,"domingo, outubro 07, 2007",dom,out,28,44772
83F,"segunda-feira, outubro 08, 2007",seg,out,28,44770
81F,"terça-feira, outubro 09, 2007",ter,out,27,44161
84F,"quarta-feira, outubro 10, 2007",qua,out,28,44768
84F,"quinta-feira, outubro 11, 2007",qui,out,28,44766
80F,"sexta-feira, outubro 12, 2007",sex,out,26,43547
82F,"sábado, outubro 13, 2007",sab,out,27,44154
85F,"domingo, outubro 14, 2007",dom,out,29,45368
86F,"segunda-feira, outubro 15, 2007",seg,out,29,45368
85F,"terça-feira, outubro 16, 2007",ter,out,29,45367
85F,"quarta-feira, outubro 17, 2007",qua,out,29,45364
81F,"quinta-feira, outubro 18, 2007",qui,out,27,44145
83F,"sexta-feira, outubro 19, 2007",sex,out,28,44752
82F,"sábado, outubro 20, 2007",sab,out,27,44143
82F,"domingo, outubro 21, 2007",dom,out,27,44141
81F,"segunda-feira, outubro 22, 2007",seg,out,27,44140
81F,"terça-feira, outubro 23, 2007",ter,out,26,43530
84F,"quarta-feira, outubro 24, 2007",qua,out,28,44743
85F,"quinta-feira, outubro 25, 2007",qui,out,29,45351
79F,"sexta-feira, outubro 26, 2007",sex,out,26,43524
83F,"sábado, outubro 27, 2007",sab,out,28,44741
81F,"domingo, outubro 28, 2007",dom,out,27,44131
88F,"segunda-feira, outubro 29, 2007",seg,out,30,45951
80F,"terça-feira, outubro 30, 2007",ter,out,26,43514
80F,"quarta-feira, outubro 31, 2007",qua,out,26,43514
82F,"quinta-feira, novembro 01, 2007",qui,nov,27,44123
84F,"sexta-feira, novembro 02, 2007",sex,nov,28,44731
83F,"sábado, novembro 03, 2007",sab,nov,28,44730
81F,"domingo, novembro 04, 2007",dom,nov,27,44120
81F,"segunda-feira, novembro 05, 2007",seg,nov,27,44119
83F,"terça-feira, novembro 06, 2007",ter,nov,28,44727
81F,"quarta-feira, novembro 07, 2007",qua,nov,27,44116
84F,"quinta-feira, novembro 08, 2007",qui,nov,28,44722
82F,"sexta-feira, novembro 09, 2007",sex,nov,27,44112
85F,"sábado, novembro 10, 2007",sab,nov,29,45329
85F,"domingo, novembro 11, 2007",dom,nov,29,45329
85F,"segunda-feira, novembro 12, 2007",seg,nov,29,45329
87F,"terça-feira, novembro 13, 2007",ter,nov,30,45937
83F,"quarta-feira, novembro 14, 2007",qua,nov,28,44718
82F,"quinta-feira, novembro 15, 2007",qui,nov,27,44109
81F,"sexta-feira, novembro 16, 2007",sex,nov,27,44107
84F,"sábado, novembro 17, 2007",sab,nov,28,44716
82F,"domingo, novembro 18, 2007",dom,nov,28,44711
82F,"segunda-feira, novembro 19, 2007",seg,nov,27,44101
86F,"terça-feira, novembro 20, 2007",ter,nov,30,45924
81F,"quarta-feira, novembro 21, 2007",qua,nov,26,43485
85F,"quinta-feira, novembro 22, 2007",qui,nov,29,45312
83F,"sexta-feira, novembro 23, 2007",sex,nov,28,44700
84F,"sábado, novembro 24, 2007",sab,nov,29,45309
86F,"domingo, novembro 25, 2007",dom,nov,30,45917
83F,"segunda-feira, novembro 26, 2007",seg,nov,28,44699
85F,"terça-feira, novembro 27, 2007",ter,nov,29,45305
84F,"quarta-feira, novembro 28, 2007",qua,nov,29,45301
88F,"quinta-feira, novembro 29, 2007",qui,nov,31,46518
81F,"sexta-feira, novembro 30, 2007",sex,nov,27,44081
88F,"sábado, dezembro 01, 2007",sab,dez,30,45905
80F,"domingo, dezembro 02, 2007",dom,dez,26,43469
81F,"segunda-feira, dezembro 03, 2007",seg,dez,27,44073
83F,"terça-feira, dezembro 04, 2007",ter,dez,28,44678
82F,"quarta-feira, dezembro 05, 2007",qua,dez,27,44068
86F,"quinta-feira, dezembro 06, 2007",qui,dez,30,45892
83F,"sexta-feira, dezembro 07, 2007",sex,dez,28,44674
82F,"sábado, dezembro 08, 2007",sab,dez,27,44063
